job_title_clean,skill_normalized,count
data engineer,sql,210
data engineer,data engineering,200
data engineer,python,106
data engineer,aws,95
data engineer,azure,87
data engineer,spark,66
data engineer,data modeling,50
data engineer,data warehousing,42
data engineer,data analysis,39
data engineer,java,37
data engineer,machine learning,32
data engineer,data quality,28
data engineer,data integration,26
data engineer,snowflake,26
data engineer,gcp,24
data engineer,scala,23
data engineer,data visualization,22
data engineer,tableau,22
data engineer,data governance,21
data engineer,kafka,21
data engineer,redshift,21
data engineer,data transformation,19
data engineer,hadoop,19
data engineer,jenkins,18
data engineer,communication skills,17
data engineer,data analytics,17
data engineer,data architecture,17
data engineer,communication,16
data engineer,data security,16
data engineer,databricks,16
data engineer,devops,16
data engineer,analytical skills,15
data engineer,big data,15
data engineer,cloud computing,14
data engineer,collaboration,14
data engineer,lambda,14
data engineer,s3,14
data engineer,analytics,13
data engineer,data storage,13
data engineer,kubernetes,13
data engineer,power bi,13
data engineer,business intelligence,12
data engineer,data processing,12
data engineer,data science,12
data engineer,hive,12
data engineer,rds,12
data engineer,git,11
data engineer,github,11
data engineer,problemsolving skills,11
data engineer,troubleshooting,11
data engineer,computer science,10
data engineer,data integrity,10
data engineer,docker,10
data engineer,ec2,10
data engineer,oracle,10
data engineer,problemsolving,10
data engineer,r,10
data engineer,software development,10
data engineer,teamwork,10
data engineer,agile,9
data engineer,agile development,9
data engineer,data extraction,9
data engineer,data modelling,9
data engineer,emr,9
data engineer,mongodb,9
data engineer,nifi,9
data engineer,powerbi,9
data engineer,terraform,9
data engineer,airflow,8
data engineer,athena,8
data engineer,data ingestion,8
data engineer,data lakes,8
data engineer,data loading,8
data engineer,data management,8
data engineer,data structures,8
data engineer,dbt,8
data engineer,elasticsearch,8
data engineer,interpersonal skills,8
data engineer,linux,8
data engineer,organizational skills,8
data engineer,problem solving,8
data engineer,big data technologies,7
data engineer,ci/cd,7
data engineer,data lake,7
data engineer,data models,7
data engineer,data warehouses,7
data engineer,javascript,7
data engineer,relational databases,7
data engineer,reporting,7
data engineer,scrum,7
data engineer,security,7
data engineer,agile methodology,6
data engineer,apache airflow,6
data engineer,apache kafka,6
data engineer,bigquery,6
data engineer,business requirements,6
data engineer,data mining,6
data engineer,data warehouse,6
data engineer,engineering,6
data engineer,glue,6
data engineer,informatica,6
data engineer,project management,6
data engineer,shell scripting,6
data engineer,software engineering,6
data engineer,ssis,6
data engineer,apache nifi,5
data engineer,bachelor's degree,5
data engineer,bash,5
data engineer,cassandra,5
data engineer,data engineer,5
data engineer,database design,5
data engineer,excel,5
data engineer,jira,5
data engineer,json,5
data engineer,performance tuning,5
data engineer,redis,5
data engineer,root cause analysis,5
data engineer,sagemaker,5
data engineer,statistics,5
data engineer,unit testing,5
data engineer,artificial intelligence,4
data engineer,c#,4
data engineer,c++,4
data engineer,cloud functions,4
data engineer,cloudformation,4
data engineer,cobol,4
data engineer,compliance,4
data engineer,data catalog,4
data engineer,data flows,4
data engineer,data infrastructure,4
data engineer,data mapping,4
data engineer,data pipeline,4
data engineer,data pipeline development,4
data engineer,data pipelining,4
data engineer,data reliability,4
data engineer,data retrieval,4
data engineer,data solutions,4
data engineer,data strategy,4
data engineer,data validation,4
data engineer,database administration,4
data engineer,dataops,4
data engineer,java 8/11,4
data engineer,loanserv,4
data engineer,looker,4
data engineer,metadata,4
data engineer,msk,4
data engineer,performance optimization,4
data engineer,qlik,4
data engineer,query optimization,4
data engineer,scalability,4
data engineer,spring boot,4
data engineer,swagger,4
data engineer,unix,4
data engineer,version control,4
data engineer,yarn,4
data engineer,agile methodologies,3
data engineer,ai,3
data engineer,api development,3
data engineer,api gateway,3
data engineer,api integration,3
data engineer,attention to detail,3
data engineer,bachelor's degree in computer science,3
data engineer,cloud platforms,3
data engineer,cloud services,3
data engineer,code review,3
data engineer,collaboration skills,3
data engineer,continuous integration,3
data engineer,critical thinking,3
data engineer,cypher,3
data engineer,dashboarding,3
data engineer,data acquisition,3
data engineer,data cleaning,3
data engineer,data collection,3
data engineer,data exploration,3
data engineer,data manipulation,3
data engineer,data migration,3
data engineer,data preparation,3
data engineer,data quality assurance,3
data engineer,data requirements,3
data engineer,data streaming,3
data engineer,data tools,3
data engineer,debugging,3
data engineer,design,3
data engineer,devsecops,3
data engineer,dynamodb,3
data engineer,embedded tomcat,3
data engineer,financial principles,3
data engineer,gitlab,3
data engineer,go,3
data engineer,hbase,3
data engineer,highperformance algorithms,3
data engineer,impala,3
data engineer,kanban,3
data engineer,leadership,3
data engineer,mapreduce,3
data engineer,mathematics,3
data engineer,mentoring,3
data engineer,micro services,3
data engineer,monitoring,3
data engineer,mortgage banking,3
data engineer,mortgage banking principles,3
data engineer,neo4j,3
data engineer,nlp,3
data engineer,objectoriented programming,3
data engineer,pandas,3
data engineer,parquet,3
data engineer,predictive models,3
data engineer,programming,3
data engineer,proof of concepts,3
data engineer,prototypes,3
data engineer,rdbms,3
data engineer,sdlc,3
data engineer,software architecture,3
data engineer,stakeholder collaboration,3
data engineer,step functions,3
data engineer,stored procedures,3
data engineer,talend,3
data engineer,verbal communication,3
data engineer,workload management,3
data engineer,written communication,3
data engineer,401k,2
data engineer,accumulo,2
data engineer,adaptability,2
data engineer,adf,2
data engineer,adls,2
data engineer,agile engineering practices,2
data engineer,agile project delivery,2
data engineer,alation,2
data engineer,alerting,2
data engineer,algorithms,2
data engineer,alteryx,2
data engineer,analytical & troubleshooting and remediation capabilities,2
data engineer,analytical thinking,2
data engineer,analytics platforms,2
data engineer,api connectors,2
data engineer,apis,2
data engineer,automated testing,2
data engineer,automation,2
data engineer,big data platforms,2
data engineer,big query,2
data engineer,business acumen,2
