skill,count
sql,9300
machine learning,5807
python,5210
data engineering,4619
aws,3586
data analysis,3293
azure,2705
communication,2506
data visualization,2330
spark,2233
project management,1737
communication skills,1712
tableau,1705
data science,1691
statistics,1650
r,1544
data modeling,1520
data management,1470
java,1434
problem solving,1410
data warehousing,1408
data analytics,1402
teamwork,1227
analytical skills,1219
data governance,1209
cloud computing,1125
attention to detail,1081
collaboration,1078
hadoop,1075
computer science,1072
snowflake,1057
power bi,1046
scala,1039
data mining,1025
gcp,1023
business intelligence,1020
problemsolving,998
agile,954
data quality,926
bachelor's degree,925
leadership,895
data integration,887
deep learning,823
reporting,820
tensorflow,802
excel,766
data architecture,743
kafka,727
troubleshooting,726
pytorch,699
data security,694
nlp,684
artificial intelligence,667
docker,655
software development,654
time management,651
big data,631
hive,626
engineering,606
statistical analysis,602
kubernetes,597
interpersonal skills,555
linux,532
redshift,528
software engineering,523
critical thinking,516
databricks,504
jira,491
organizational skills,486
devops,484
oracle,464
problemsolving skills,457
presentation skills,445
data integrity,432
analytics,429
git,425
agile development,420
data transformation,419
sas,418
airflow,417
data collection,414
microsoft office suite,413
documentation,411
customer service,411
mathematics,405
mentoring,402
written communication,402
data manipulation,384
risk management,382
automation,381
powerbi,378
data processing,370
cassandra,370
emr,368
multitasking,358
data interpretation,358
databases,356
data extraction,351
quality control,339
research,338
microsoft office,334
data reporting,331
adaptability,331
flexibility,329
data entry,329
business analysis,329
c++,328
a/b testing,328
microsoft excel,318
unix/linux,315
relational databases,311
data cleansing,308
scrum,305
verbal communication,303
data privacy,301
mongodb,297
master's degree,292
data validation,291
pandas,288
computer vision,288
mapreduce,288
data migration,286
ci/cd,284
database design,282
prioritization,278
compliance,275
s3,275
scikitlearn,274
change management,272
stakeholder management,272
monitoring,270
data structures,269
team leadership,266
programming,265
gurobi,260
data warehouse,259
database administration,259
distributed systems,258
quality assurance,255
shell scripting,252
training,249
testing,248
analytical thinking,246
innovation,244
security,242
numpy,242
data storage,240
database management,237
technical writing,233
algorithms,232
finance,228
decision making,226
agile methodologies,223
unit testing,222
performance tuning,218
rdbms,217
business acumen,217
data profiling,214
ai,213
unix,211
javascript,211
reinforcement learning,210
big data technologies,207
jenkins,207
data cleaning,207
economics,207
powerpoint,207
data protection,205
confluence,205
terraform,205
data lakes,204
ssis,204
experimentation,204
mongo,203
microservices,202
information technology,200
predictive modeling,199
data preparation,197
process improvement,196
organization,195
optimization,191
agile engineering practices,191
looker,190
sap,189
c#,187
information systems,186
scalability,184
dashboards,183
dbt,183
networking,183
accuracy,180
data lake,180
cybersecurity,179
product management,179
data modelling,178
json,177
crossfunctional collaboration,176
deployment,173
generative ai,172
hypothesis testing,172
continuous integration,171
forecasting,171
distributed computing,170
medical technology,170
data ingestion,169
informatica,168
regulatory compliance,168
github,166
windows,164
scripting,164
design,163
data mapping,161
data accuracy,160
presentation,160
datadriven decision making,158
equal opportunity employer,158
diversity,156
programming languages,156
predictive analytics,155
llms,153
master data management,153
development,153
scheduling,152
business requirements,152
team management,151
bash,151
chemistry,151
matlab,151
data models,150
data warehouses,146
electrical engineering,146
statistical methods,145
data lineage,144
data quality management,143
business analytics,143
stored procedures,142
autonomy,141
requirements gathering,140
data strategy,140
model deployment,140
planning,140
travel,138
team collaboration,138
inclusion,137
sharepoint,137
root cause analysis,136
open source rdbms,135
initiative,135
data standards,134
probabilistic graphs,133
realtime data,133
powershell,132
kanban,132
vendor management,132
data gathering,131
leadership skills,131
salesforce,131
lambda,129
medical technologist,129
operating systems,129
ssrs,129
people management,128
confidentiality,128
microsoft word,128
modeling,128
metadata management,127
independent work,127
cism,126
workflow orchestration,126
feature engineering,125
analysis,125
cloud services,125
cissp,124
report writing,124
alteryx,124
word,124
streaming applications,122
coaching,122
maintenance,121
consulting,121
statistical techniques,120
quantitative analysis,120
negotiation,120
team player,120
budgeting,120
high school diploma,119
healthcare,119
disaster recovery,119
data infrastructure,118
product development,117
program management,117
data presentation,117
selfmotivation,117
life insurance,117
performance optimization,116
product ownership,116
visualization,116
distributed microservices,115
clustering,115
data center operations,115
advanced analytics,115
saas,114
agile methodology,114
paid time off,114
fastpaced environment,114
jupyter,113
apis,113
cloud platforms,113
cisa,112
continuous improvement,112
database development,111
spss,111
creativity,111
financial services,110
accounting,110
data architect,108
cloud,108
ascp certification,108
bigquery,108
oral communication,107
financial analysis,107
ms excel,107
risk assessment,107
collaboration skills,106
technical skills,106
teamfirst mentality,105
medical laboratory technician,105
data quality assurance,105
gdpr,104
physics,104
safety,104
architecture,104
ms office,104
hiring,103
data standardization,103
business,103
strategic thinking,102
decisionmaking,101
model training,101
virtualization,100
microbiology,99
inventory management,99
regression,99
application development,99
cloud technologies,99
metadata,99
strategic planning,99
vision,99
security+,98
construction management,98
model evaluation,98
data loading,98
data acquisition,98
medical laboratory science,97
mechanical engineering,97
hbase,97
pig,97
apache airflow,97
stakeholder engagement,97
english,97
ascp,96
coding,96
business development,96
go,96
